ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue,Profit
329440,The Forest,2016,3,2016-12-27,False,2.55,1219,95,Horror|Thriller|Mystery,10000000.0,37608299.0,27608299.0
302946,The Accountant,2016,3,2016-12-28,False,3.5,4022,128,Crime|Thriller|Drama,44000000.0,155160045.0,111160045.0
345911,Lights Out,2016,4,2016-12-30,False,3.15,2715,81,Thriller|Mystery|Horror|Drama,4900000.0,148868835.0,143968835.0
313369,La La Land,2016,5,2017-01-17,False,3.95,12110,129,Comedy|Drama|Romance|Music,30000000.0,446486224.0,416486224.0
376867,Moonlight,2016,5,2017-01-21,False,3.7,5007,111,Drama,4000000.0,65046687.0,61046687.0
346685,The Girl on The Train,2016,2,2017-01-22,False,3.2,4245,112,Crime|Drama|Mystery|Romance|Thriller,45000000.0,173185859.0,128185859.0
334541,Manchester by the Sea,2016,4,2017-01-26,False,3.75,4001,138,Drama,9000000.0,78988148.0,69988148.0
338766,Hell or High Water,2016,4,2017-02-01,False,3.65,3009,102,Crime|Western,12000000.0,37589296.0,25589296.0
393457,Fences,2016,3,2017-02-04,True,3.4,1779,139,Drama,24000000.0,64414761.0,40414761.0
381284,Hidden Figures,2016,4,2017-02-09,True,4.0,6001,127,Drama|History,25000000.0,230698791.0,205698791.0
263115,Logan,2017,4,2017-03-02,False,3.9,14544,137,Action|Drama|Science Fiction,97000000.0,619021436.0,522021436.0
377462,O.J.: Made in America,2016,5,2017-03-18,False,4.3,137,467,Documentary,30000000.0,151866047.5,121866047.5
75638,Red Lights,2012,2,2017-03-18,False,3.05,760,119,Thriller,14000000.0,13551174.0,-448826.0
381288,Split,2017,4,2017-03-24,True,3.65,12615,117,Horror|Thriller,9000000.0,278454358.0,269454358.0
68730,Silence,2016,3,2017-03-25,False,3.55,2057,161,Drama|History,46000000.0,23737523.0,-22262477.0
245891,John Wick,2014,4,2017-03-27,False,3.65,12951,101,Action|Thriller,20000000.0,88761661.0,68761661.0
315837,Ghost in the Shell,2017,3,2017-03-30,True,3.0,5995,107,Action|Science Fiction|Thriller|Drama,110000000.0,169801921.0,59801921.0
